# Frequency (Hz)    Strain h_x(f)
 (5.999999999999999474e-04+0.000000000000000000e+00j)  (2.835063588992474858e-31+8.040496920871671131e-31j)
 (9.777777777777777162e-04+0.000000000000000000e+00j)  (-2.365073275651947088e-31-3.010882541743541120e-32j)
 (1.355555555555555593e-03+0.000000000000000000e+00j)  (6.903534075578209994e-32+1.201667165619753944e-31j)
 (1.733333333333333254e-03+0.000000000000000000e+00j)  (4.793765175077081843e-32+8.511150625554949700e-32j)
 (2.111111111111111348e-03+0.000000000000000000e+00j)  (5.924019646730834699e-32+4.668173972917900474e-32j)
 (2.488888888888889008e-03+0.000000000000000000e+00j)  (4.792052685215760578e-32+3.842719990289704439e-32j)
 (2.866666666666666669e-03+0.000000000000000000e+00j)  (4.014185926940309929e-32+3.275462013047490867e-32j)
 (3.244444444444444763e-03+0.000000000000000000e+00j)  (-3.645247592688577286e-32+2.603841158649202500e-32j)
 (3.622222222222222423e-03+0.000000000000000000e+00j)  (-3.230078044803625868e-32+2.266021114848185285e-32j)
 (4.000000000000000083e-03+0.000000000000000000e+00j)  (-2.903144465910716338e-32+2.000021389128799919e-32j)
